Ch,Circ,action,location,person,Author,Novel
0.20114025085518814,0.2759407069555302,0.053135689851767386,0.20706955530216647,0.26271379703534775,Астафьев,Прокляты и убиты. Книга первая
0.18766435572555581,0.2856801338752092,0.04398756873057614,0.21993784365288072,0.2627300980157781,Астафьев,Прокляты и убиты. Книга первая
0.21662634704200573,0.26149109302837037,0.050362876621948535,0.21486694523861888,0.25665273806905653,Астафьев,Прокляты и убиты. Книга первая
0.20506792058516196,0.26854754440961337,0.04519331243469175,0.21525600835945663,0.2659352142110763,Астафьев,Прокляты и убиты. Книга первая
0.20106445890005914,0.2795190222747881,0.0429726000394244,0.21781983047506406,0.2586240883106643,Астафьев,Прокляты и убиты. Книга первая
0.19850280723643168,0.3045539613225203,0.04516531503431067,0.20399251403618215,0.2477854023705552,Астафьев,Прокляты и убиты. Книга первая
0.2000500125031258,0.25531382845711426,0.05326331582895724,0.22630657664416104,0.2650662665666417,Астафьев,Царь-рыба
0.19545938275984392,0.24051081943951755,0.044696700957786446,0.2259666548421426,0.2933664420007095,Астафьев,Царь-рыба
0.20478809446780977,0.25008087997411843,0.04335166612746684,0.21643481074086057,0.2853445486897444,Астафьев,Царь-рыба
0.19019442096365174,0.2859960552268245,0.034375880529726684,0.231614539306847,0.2578191039729501,Астафьев,Царь-рыба
0.16926988739556847,0.28078459861968763,0.043225572103160186,0.22157646204140938,0.28514347984017435,Астафьев,Царь-рыба
0.21160911094783247,0.2417340191036003,0.03747244673034533,0.2035268185157972,0.3056576047024247,Астафьев,Царь-рыба
0.19191226867717615,0.24605894448252227,0.04866346812885538,0.21487320082248115,0.29849211788896507,Астафьев,Царь-рыба
0.19075342465753425,0.26164383561643834,0.03801369863013699,0.225,0.2845890410958904,Астафьев,Царь-рыба
0.2033289817232376,0.2558746736292428,0.0391644908616188,0.21768929503916448,0.2839425587467363,Астафьев,Царь-рыба
0.1790625,0.2978125,0.0390625,0.205625,0.2784375,Астафьев,Царь-рыба
0.19309309309309308,0.2702702702702703,0.036036036036036036,0.21921921921921922,0.28138138138138136,Астафьев,Царь-рыба
0.20116822429906542,0.26565420560747666,0.04766355140186916,0.22336448598130842,0.26214953271028035,Астафьев,Царь-рыба
0.21373526745240254,0.2513599274705349,0.04827742520398912,0.2243880326382593,0.2622393472348141,Астафьев,Царь-рыба
0.19445843828715365,0.2768261964735516,0.04055415617128463,0.2221662468513854,0.26599496221662466,Астафьев,Царь-рыба
0.18927680798004987,0.2655860349127182,0.050374064837905234,0.22618453865336657,0.2685785536159601,Астафьев,Царь-рыба
0.19823913660891793,0.26554955978415223,0.0448736154501562,0.22692416927009373,0.2644135188866799,Астафьев,Царь-рыба
0.23293515358361774,0.21814562002275312,0.05489192263936291,0.20477815699658702,0.28924914675767915,Астафьев,Царь-рыба
0.21456072803640183,0.2439621981099055,0.05460273013650683,0.19390969548477424,0.29296464823241164,Астафьев,Царь-рыба
0.21397649969078542,0.2702535559678417,0.039888682745825604,0.22448979591836735,0.25139146567717996,Астафьев,Царь-рыба
0.20898876404494382,0.2657814096016343,0.03779366700715015,0.22206332992849848,0.26537282941777324,Астафьев,Царь-рыба
0.18765133171912832,0.2506053268765133,0.0387409200968523,0.22518159806295399,0.29782082324455206,Бианки,Зеленый пруд
0.14396411092985317,0.35807504078303426,0.03588907014681892,0.19127243066884175,0.2707993474714519,Бианки,Лесная газета. Сказки и рассказы
