action descriptiveness,action feature,descriptiveness,dynamism,number,pass voice,past tense,present tense,pronominal_replacement,real modality,Author,Novel
0.6875,0.3283582089552239,0.5135135135135135,0.11895910780669146,0.05405405405405406,23.9375,0.3,0.7,0.6021505376344086,203.46875,Oscar Wilde,Lady Windermere's Fan
0.6865671641791045,0.39655172413793105,0.5316455696202532,0.1456521739130435,0.0759493670886076,10.656716417910447,0.7391304347826086,0.2608695652173913,0.5433526011560694,447.5820895522388,Oscar Wilde,The Picture of Dorian Gray
0.4468085106382979,0.31343283582089554,0.4468085106382979,0.16262975778546715,0.04255319148936171,9.808510638297873,0.35,0.65,0.5648148148148149,127.51063829787235,Oscar Wilde,"Vera; Or, The Nihilists"
0.5616438356164384,0.1943127962085308,0.475,0.11406250000000001,0.025,129.31506849315068,0.425,0.575,0.377431906614786,336.2191780821918,Oscar Wilde,Intentions
0.6190476190476191,0.3333333333333333,0.4536082474226804,0.16310679611650492,0.15463917525773196,43.095238095238095,0.4603174603174603,0.5396825396825397,0.5221674876847291,422.33333333333337,Oscar Wilde,The Picture of Dorian Gray
0.5,0.5357142857142857,0.11538461538461539,0.17543859649122812,0.0,0.0,0.23076923076923078,0.7692307692307693,0.6176470588235294,100.83333333333334,Oscar Wilde,Lady Windermere's Fan
0.6438356164383561,0.38211382113821135,0.5555555555555556,0.1520833333333333,0.04166666666666667,39.726027397260275,0.574468085106383,0.425531914893617,0.5739644970414202,387.32876712328766,Oscar Wilde,The Picture of Dorian Gray
0.5688073394495413,0.22962962962962963,0.4075829383886256,0.1349009900990099,0.009478672985781991,122.31192660550458,0.4067796610169492,0.5932203389830508,0.3215434083601287,411.4128440366972,Oscar Wilde,Intentions
0.7603305785123968,0.28571428571428575,0.6224489795918366,0.13282107574094404,0.030612244897959183,87.14049586776859,0.5783132530120482,0.42168674698795183,0.4285714285714286,620.8760330578513,Oscar Wilde,Intentions
0.9714285714285714,0.4197530864197531,0.39999999999999997,0.11006289308176102,0.06666666666666667,54.74285714285714,0.6,0.4,0.5360824742268042,95.8,Oscar Wilde,"Vera; Or, The Nihilists"
1.027777777777778,0.47435897435897434,0.8799999999999999,0.1411764705882353,0.12,20.333333333333332,0.5789473684210527,0.42105263157894735,0.647887323943662,122.0,Oscar Wilde,The Importance of Being Earnest A Trivial Comedy for Serious People
